"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-config.ts", "TypeScript", 23, 0, 0, 5, 2, 30
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-custom.component.scss", "SCSS", 0, 0, 75, 32, 5, 112
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-custom.component.ts", "TypeScript", 13, 0, 0, 98, 12, 123
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster.component.html", "HTML", 0, 862, 0, 53, 1, 916
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster.component.ts", "TypeScript", 614, 0, 0, 293, 62, 969
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster.module.ts", "TypeScript", 12, 0, 0, 1, 4, 17
"Total", "-", 662, 862, 75, 482, 86, 2167
