"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-config.ts", "TypeScript", 23, 0, 0, 5, 2, 30
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-custom.component.scss", "SCSS", 0, 0, 75, 32, 5, 112
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster-custom.component.ts", "TypeScript", 13, 0, 0, 98, 12, 123
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster.component.html", "HTML", 0, 862, 0, 53, 1, 916
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster-contactmaster\contactmaster-contactmaster.component.ts", "TypeScript", 614, 0, 0, 293, 62, 969
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contactmaster\contactmaster.module.ts", "TypeScript", 12, 0, 0, 1, 4, 17
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\maintenance-search-config.ts", "TypeScript", -27, 0, 0, -5, -2, -34
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\maintenance-search-custom.component.scss", "SCSS", 0, 0, -230, -71, -73, -374
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\maintenance-search-custom.component.ts", "TypeScript", -14, 0, 0, -72, -9, -95
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\maintenance-search.component.html", "HTML", 0, -3205, 0, -305, -3, -3513
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\maintenance-search.component.ts", "TypeScript", -630, 0, 0, -384, -119, -1133
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-awagsearch-custom.service.ts", "TypeScript", -5, 0, 0, -17, -5, -27
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-awagsearch.service.ts", "TypeScript", -23, 0, 0, -21, -5, -49
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-awagselect-custom.service.ts", "TypeScript", -5, 0, 0, -17, -5, -27
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-awagselect.service.ts", "TypeScript", -23, 0, 0, -21, -5, -49
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-search-custom.service.ts", "TypeScript", -5, 0, 0, -17, -5, -27
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\maintenance\maintenance-search\service\maintenance-search-search.service.ts", "TypeScript", -23, 0, 0, -21, -5, -49
"Total", "-", -93, -2343, -155, -469, -150, -3210
