"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-config.ts", "TypeScript", -17, 0, 0, -5, -2, -24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-custom.component.scss", "SCSS", 0, -142, 0, -8, -28, -178
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-custom.component.ts", "TypeScript", -13, 0, 0, -8, -3, -24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode.component.html", "HTML", 0, 0, -676, -56, -1, -733
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode.component.ts", "TypeScript", -137, 0, 0, -118, -28, -283
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode.module.ts", "TypeScript", -12, 0, 0, -1, -4, -17
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-config.ts", "TypeScript", 9, 0, 0, 5, 2, 16
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-custom.component.scss", "SCSS", 0, 140, 0, 6, 23, 169
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-custom.component.ts", "TypeScript", 13, 0, 0, 8, 3, 24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic.component.html", "HTML", 0, 0, 374, 32, 1, 407
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic.component.ts", "TypeScript", 211, 0, 0, 192, 53, 456
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic.module.ts", "TypeScript", 12, 0, 0, 1, 4, 17
"Total", "-", 66, -2, -302, 48, 20, -170
