"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-config.ts", "TypeScript", 9, 0, 0, 5, 2, 16
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-custom.component.scss", "SCSS", 0, 140, 0, 6, 23, 169
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic-custom.component.ts", "TypeScript", 13, 0, 0, 8, 3, 24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic.component.html", "HTML", 0, 0, 374, 32, 1, 407
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic-customecharacteristic\customecharacteristic-customecharacteristic.component.ts", "TypeScript", 211, 0, 0, 192, 53, 456
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\customecharacteristic\customecharacteristic.module.ts", "TypeScript", 12, 0, 0, 1, 4, 17
"Total", "-", 245, 140, 374, 244, 86, 1089
